Courses_Completed,Course_Attempts,Course_Difficulty,Course_Ruiners,Exam_Preference,Programming_Enjoyment,Lecturer_Importance,Course_Recommendations
"COMP1126 - Introduction to Computing I, COMP1127 - Introduction to Computing II, COMP1161 - Object-Oriented Programming, COMP1210 - Mathematics for Computing, COMP1220 - Computing and Society, COMP2140 - Software Engineering, COMP2171 - Object Oriented Design and Implementation, COMP2190 - Net-Centric Computing, COMP2201 - Discrete Mathematics for Computer Science, COMP2211 - Analysis of Algorithms, COMP2340 - Computer Systems Organization, COMP3092 - An Introduction to Quantum Computing, COMP3161 - Database Management Systems, COMP3162 - Data Science Principles, COMP3220 - Principles of Artificial Intelligence, COMP3901 - Capstone Project, COMP3911 - Internship in Computing I, INFO3155 - Information Assurance and Security, INFO3165 - Security Analysis and Digital Forensics",COMP1126 - 1 COMP1127 - 1 COMP1161 - 1 COMP1210 - 1 COMP1220 - 1 COMP2140 - 1 COMP2171 - 1 COMP2190 - 1 COMP2201 - 1 COMP2211 - 1 COMP2340 - 1 COMP3092 - 1 COMP3161 - 1 COMP3162 - 1 COMP3220 - 1 COMP3901 - 1 COMP3911 - 1 INFO3155 - 1 INFO3165 - 1,COMP1126 - N/A COMP1127 - N/A COMP1161 - N/A COMP1210 - N/A COMP1220 - N/A COMP2140 - N/A COMP2171 - N/A COMP2190 - N/A COMP2201 - N/A COMP2211 - 5 COMP2340 - N/A COMP3092 - N/A COMP3161 - N/A COMP3162 - N/A COMP3220 - N/A COMP3901 - N/A COMP3911 - 5 INFO3155 - N/A INFO3165 - 4,Labs as a component,No,1,2,COMP3911
"COMP1126 - Introduction to Computing I, COMP1127 - Introduction to Computing II, COMP1161 - Object-Oriented Programming, COMP1210 - Mathematics for Computing, COMP1220 - Computing and Society, COMP2130 - Systems Programming, COMP2140 - Software Engineering, COMP2171 - Object Oriented Design and Implementation, COMP2190 - Net-Centric Computing, COMP2201 - Discrete Mathematics for Computer Science, COMP2211 - Analysis of Algorithms, COMP2340 - Computer Systems Organization, INFO2180 - Dynamic Web Development 1, COMP3101 - Operating Systems, COMP3161 - Database Management Systems, COMP3162 - Data Science Principles, COMP3220 - Principles of Artificial Intelligence, COMP3901 - Capstone Project, COMP3912 - Internship in Computing II, INFO3165 - Security Analysis and Digital Forensics, INFO3171 - User Interface Design, INFO3180 - Dynamic Web Development II, INFO3435 - Ecommerce, SWEN3920 - Capstone Project (Software Engineering)",COMP1126 - 1 COMP1127 - 1 COMP1161 - 1 COMP1210 - 1 COMP1220 - 1 COMP2130 - 1 COMP2140 - 1 COMP2171 - 1 COMP2190 - 1 COMP2201 - 1 COMP2211 - 1 COMP2340 - 1 INFO2180 - 1 COMP3101 - 1 COMP3161 - 1 COMP3162 - 1 COMP3220 - 1 COMP3901 - 1 COMP3912 - 1 INFO3165 - 1 INFO3171 - 1 INFO3180 - 1 INFO3435 - 1 SWEN3920 - 1,COMP1126 - 3 COMP1127 - 3 COMP1161 - 3 COMP1210 - 3 COMP1220 - 3 COMP2130 - 3 COMP2140 - 3 COMP2171 - 3 COMP2190 - 3 COMP2201 - 3 COMP2211 - 3 COMP2340 - 3 INFO2180 - 3 COMP3101 - 3 COMP3161 - 3 COMP3162 - 3 COMP3220 - 3 COMP3901 - 3 COMP3912 - 3 INFO3165 - 3 INFO3171 - 3 INFO3180 - 3 INFO3435 - 3 SWEN3920 - 3,An unsuitable lecturer,No,1,1,"COMP1126, COMP1127, COMP1161, COMP1210, COMP1220"
"COMP1126 - Introduction to Computing I, COMP1127 - Introduction to Computing II, COMP1161 - Object-Oriented Programming, COMP1210 - Mathematics for Computing, COMP1220 - Computing and Society, COMP2140 - Software Engineering, COMP2171 - Object Oriented Design and Implementation, COMP2190 - Net-Centric Computing, COMP2201 - Discrete Mathematics for Computer Science, COMP2211 - Analysis of Algorithms, COMP2340 - Computer Systems Organization, INFO2180 - Dynamic Web Development 1, COMP3101 - Operating Systems, COMP3161 - Database Management Systems, COMP3162 - Data Science Principles, COMP3220 - Principles of Artificial Intelligence, COMP3901 - Capstone Project, INFO3165 - Security Analysis and Digital Forensics, INFO3171 - User Interface Design, INFO3180 - Dynamic Web Development II",COMP1126 - 1 COMP1127 - 1 COMP1161 - 1 COMP1210 - 1 COMP1220 - 1 COMP2140 - 1 COMP2171 - 1 COMP2190 - 1 COMP2201 - 1 COMP2211 - 1 COMP2340 - 1 INFO2180 - 1 COMP3101 - 1 COMP3161 - 1 COMP3162 - 1 COMP3220 - 1 COMP3901 - 1 INFO3165 - 1 INFO3171 - 1 INFO3180 - 1,COMP1126 - 2 COMP1127 - 2 COMP1161 - 2 COMP1210 - 2 COMP1220 - 2 COMP2140 - 3 COMP2171 - 3 COMP2190 - 5 COMP2201 - 3 COMP2211 - 4 COMP2340 - 3 INFO2180 - 3 COMP3101 - 3 COMP3161 - 3 COMP3162 - 3 COMP3220 - 3 COMP3901 - 3 INFO3165 - 3 INFO3171 - 5 INFO3180 - 3,Bad lecturer who doesn't engage with students or teaches boringly,Yes,1,2,"COMP1126, COMP1127, COMP1161, COMP2140, INFO2180, INFO3180"
"COMP1126 - Introduction to Computing I, COMP1127 - Introduction to Computing II, COMP1161 - Object-Oriented Programming, COMP1210 - Mathematics for Computing, COMP1220 - Computing and Society, COMP2130 - Systems Programming, COMP2140 - Software Engineering, COMP2171 - Object Oriented Design and Implementation, COMP2190 - Net-Centric Computing, COMP2201 - Discrete Mathematics for Computer Science, COMP2211 - Analysis of Algorithms, COMP2340 - Computer Systems Organization, INFO2180 - Dynamic Web Development 1, COMP3092 - An Introduction to Quantum Computing, COMP3101 - Operating Systems, COMP3161 - Database Management Systems, COMP3220 - Principles of Artificial Intelligence, COMP3652 - Language Processors, COMP3702 - Theory of Computation, COMP3901 - Capstone Project, INFO3155 - Information Assurance and Security, INFO3171 - User Interface Design, INFO3180 - Dynamic Web Development II, SWEN3001 - Android Application Development I",COMP1126 - 1 COMP1127 - 1 COMP1161 - 1 COMP1210 - 1 COMP1220 - 1 COMP2130 - 1 COMP2140 - 1 COMP2171 - 1 COMP2190 - 1 COMP2201 - 1 COMP2211 - 1 COMP2340 - 1 INFO2180 - 1 COMP3092 - 1 COMP3101 - 1 COMP3161 - 1 COMP3220 - 1 COMP3652 - 1 COMP3702 - 2 COMP3901 - 1 INFO3155 - 1 INFO3171 - 1 INFO3180 - 1 SWEN3001 - 1 INFO2100 - 0,COMP1126 - 1 COMP1127 - 1 COMP1161 - 2 COMP1210 - 1 COMP1220 - 2 COMP2130 - 2 COMP2140 - 3 COMP2171 - 3 COMP2190 - 3 COMP2201 - 3 COMP2211 - 5 COMP2340 - 4 INFO2180 - 1 COMP3092 - N/A COMP3101 - 3 COMP3161 - 3 COMP3220 - 3 COMP3652 - 5 COMP3702 - 5 COMP3901 - 3 INFO3155 - 3 INFO3171 - 4 INFO3180 - 1 SWEN3001 - 3,"Lack of slides and information in VLE, insufficient reinforcing projects",No,1,2,"COMP1126, COMP1127, COMP1161, COMP1210, COMP1220, COMP2130, COMP2140, COMP2171, COMP2190, COMP2201, COMP2211, COMP2340, INFO2180, COMP3101, COMP3161, COMP3162, COMP3191, COMP3192, COMP3220, COMP3652, COMP3702, COMP3901, INFO3155, INFO3171, INFO3180, SWEN3001, SWEN3002, SWEN3003, SWEN3004"
"COMP1126 - Introduction to Computing I, COMP1127 - Introduction to Computing II, COMP1161 - Object-Oriented Programming, COMP1210 - Mathematics for Computing, COMP1220 - Computing and Society, COMP2130 - Systems Programming, COMP2140 - Software Engineering, COMP2171 - Object Oriented Design and Implementation, COMP2190 - Net-Centric Computing, COMP2201 - Discrete Mathematics for Computer Science, COMP2211 - Analysis of Algorithms, COMP2340 - Computer Systems Organization, INFO2180 - Dynamic Web Development 1, COMP3092 - An Introduction to Quantum Computing, COMP3101 - Operating Systems, COMP3161 - Database Management Systems, COMP3220 - Principles of Artificial Intelligence, COMP3901 - Capstone Project, INFO3171 - User Interface Design, INFO3180 - Dynamic Web Development II, INFO3435 - Ecommerce",COMP1126 - 1 COMP1127 - 1 COMP1161 - 1 COMP1210 - 1 COMP1220 - 1 COMP2130 - 1 COMP2140 - 1 COMP2171 - 1 COMP2190 - 1 COMP2201 - 1 COMP2211 - 1 COMP2340 - 1 INFO2180 - 1 COMP3092 - 1 COMP3101 - 1 COMP3161 - 1 COMP3220 - 1 COMP3901 - 1 INFO3171 - 1 INFO3180 - 1 INFO3435 - 1,COMP1126 - 1 COMP1127 - 1 COMP1161 - 2 COMP1210 - 2 COMP1220 - 3 COMP2130 - N/A COMP2140 - 3 COMP2171 - 3 COMP2190 - N/A COMP2201 - 4 COMP2211 - N/A COMP2340 - N/A INFO2180 - 3 COMP3092 - N/A COMP3101 - N/A COMP3161 - N/A COMP3220 - N/A COMP3901 - N/A INFO3171 - N/A INFO3180 - 3 INFO3435 - N/A,N/A,Yes,3,2,"COMP1126, COMP1127, COMP1161, COMP1210, COMP1220, COMP2171, COMP2201, INFO2180, COMP3092, INFO3180"
"COMP1126 - Introduction to Computing I, COMP1127 - Introduction to Computing II, COMP1161 - Object-Oriented Programming, COMP1210 - Mathematics for Computing, COMP1220 - Computing and Society, COMP2140 - Software Engineering, COMP2171 - Object Oriented Design and Implementation, COMP2190 - Net-Centric Computing, COMP2201 - Discrete Mathematics for Computer Science, COMP2211 - Analysis of Algorithms, COMP2340 - Computer Systems Organization, INFO2180 - Dynamic Web Development 1, COMP3101 - Operating Systems, COMP3161 - Database Management Systems, COMP3162 - Data Science Principles, COMP3220 - Principles of Artificial Intelligence, COMP3901 - Capstone Project, INFO3171 - User Interface Design, INFO3180 - Dynamic Web Development II, SWEN3165 - Software Testing",COMP1126 - 1 COMP1127 - 1 COMP1161 - 1 COMP1210 - 1 COMP1220 - 1 COMP2140 - 1 COMP2171 - 1 COMP2190 - 1 COMP2201 - 1 COMP2211 - 1 COMP2340 - 1 INFO2180 - 1 COMP3101 - 1 COMP3161 - 1 COMP3162 - 1 COMP3220 - 1 COMP3901 - 1 INFO3171 - 1 INFO3180 - 1 SWEN3165 - 1,COMP1126 - 1 COMP1127 - 1 COMP1161 - 1 COMP1210 - 3 COMP1220 - 1 COMP2140 - 2 COMP2171 - 2 COMP2190 - 3 COMP2201 - 3 COMP2211 - 4 COMP2340 - 3 INFO2180 - N/A COMP3101 - 3 COMP3161 - 1 COMP3162 - 1 COMP3220 - 2 COMP3901 - 4 INFO3171 - 2 INFO3180 - 1 SWEN3165 - 2,Lecturer not communicating effectively with the class,Yes,5,4,"INFO2180, COMP3162, INFO3180"
"COMP1126 - Introduction to Computing I, COMP1127 - Introduction to Computing II, COMP1161 - Object-Oriented Programming, COMP1210 - Mathematics for Computing, COMP1220 - Computing and Society, COMP2140 - Software Engineering, COMP2211 - Analysis of Algorithms, INFO2180 - Dynamic Web Development 1, INFO3180 - Dynamic Web Development II",COMP1126 - 1 COMP1127 - 1 COMP1161 - 1 COMP1210 - 1 COMP1220 - 1 COMP2140 - 1 COMP2211 - 1 INFO2180 - 1 INFO3180 - 1,COMP1126 - 2 COMP1127 - 2 COMP1161 - 2 COMP1210 - 2 COMP1220 - 2 COMP2140 - 2 COMP2211 - 5 INFO2180 - 2 INFO3180 - 2,Final exam with a bad lecturer,No,2,1,"COMP1126, COMP1127, INFO2180"
"COMP1126 - Introduction to Computing I, COMP1127 - Introduction to Computing II, COMP1161 - Object-Oriented Programming, COMP1210 - Mathematics for Computing, COMP1220 - Computing and Society, COMP2140 - Software Engineering, COMP2340 - Computer Systems Organization, INFO2101 - Probability and Statistics for Computing, INFO2111 - Data Structures",COMP1126 - 1 COMP1127 - 2 COMP1161 - 2 COMP1210 - 1 COMP1220 - 1 COMP2140 - 1 COMP2340 - 1 INFO2101 - 1 INFO2111 - 1,COMP1126 - N/A COMP1127 - N/A COMP1161 - 4 COMP1210 - N/A COMP1220 - N/A COMP2140 - N/A COMP2340 - N/A INFO2101 - N/A INFO2111 - N/A,Too much course content,Yes,3,5,"COMP1126, COMP1127, COMP1210, COMP1220, COMP2140"
"COMP1126 - Introduction to Computing I, COMP1127 - Introduction to Computing II, COMP1161 - Object-Oriented Programming, COMP1210 - Mathematics for Computing, COMP1220 - Computing and Society, COMP2130 - Systems Programming, COMP2140 - Software Engineering, COMP2171 - Object Oriented Design and Implementation, COMP2190 - Net-Centric Computing, COMP2201 - Discrete Mathematics for Computer Science, COMP2211 - Analysis of Algorithms, COMP2340 - Computer Systems Organization, INFO2180 - Dynamic Web Development 1, COMP3161 - Database Management Systems, INFO3171 - User Interface Design, INFO3180 - Dynamic Web Development II, INFO3435 - Ecommerce",COMP1126 - 1 COMP1127 - 1 COMP1161 - 1 COMP1210 - 1 COMP1220 - 1 COMP2130 - 1 COMP2140 - 1 COMP2171 - 1 COMP2190 - 1 COMP2201 - 2 COMP2211 - 2 COMP2340 - 1 INFO2180 - 1 COMP3161 - 1 INFO3171 - 1 INFO3180 - 1 INFO3435 - 1,COMP1126 - 2 COMP1127 - 2 COMP1161 - 2 COMP1210 - 2 COMP1220 - 2 COMP2130 - 2 COMP2140 - 2 COMP2171 - 2 COMP2190 - 2 COMP2201 - 3 COMP2211 - 3 COMP2340 - 2 INFO2180 - 2 COMP3161 - 2 INFO3171 - 2 INFO3180 - 2 INFO3435 - 2,"More workload than expected, poor professor",No,2,1,"COMP1126, COMP1127, COMP1220, COMP2130, INFO2180, INFO3180, INFO3435"
"COMP1126 - Introduction to Computing I, COMP1127 - Introduction to Computing II, COMP1161 - Object-Oriented Programming, COMP1210 - Mathematics for Computing, COMP1220 - Computing and Society, COMP2130 - Systems Programming, COMP2140 - Software Engineering, COMP2171 - Object Oriented Design and Implementation, COMP2190 - Net-Centric Computing, COMP2201 - Discrete Mathematics for Computer Science, COMP2211 - Analysis of Algorithms, COMP2340 - Computer Systems Organization, INFO2180 - Dynamic Web Development 1, COMP3101 - Operating Systems, COMP3161 - Database Management Systems, COMP3162 - Data Science Principles, COMP3220 - Principles of Artificial Intelligence, COMP3652 - Language Processors, COMP3901 - Capstone Project, INFO3171 - User Interface Design",COMP1126 - 1 COMP1127 - 1 COMP1161 - 1 COMP1210 - 1 COMP1220 - 1 COMP2130 - 1 COMP2140 - 2 COMP2171 - 1 COMP2190 - 1 COMP2201 - 1 COMP2211 - 1 COMP2340 - 1 INFO2180 - 1 COMP3101 - 1 COMP3161 - 1 COMP3162 - 1 COMP3220 - 1 COMP3652 - 1 COMP3901 - 1 INFO3171 - 0 INFO2170 - 0,COMP1126 - 2 COMP1127 - 2 COMP1161 - 2 COMP1210 - 2 COMP1220 - 2 COMP2130 - 2 COMP2140 - 2 COMP2171 - 2 COMP2190 - 2 COMP2201 - 3 COMP2211 - 3 COMP2340 - 2 INFO2180 - 2 COMP3101 - 2 COMP3161 - 2 COMP3162 - 2 COMP3220 - 2 COMP3652 - 5 COMP3901 - 2 INFO3171 - 2,"Poor explanation of topics, hard to follow lecture slides",No,1,1,"COMP1126, COMP1127, COMP1161, COMP1210, COMP2130, COMP2201, COMP2211, COMP2340, COMP3161, COMP3162"
"COMP1126 - Introduction to Computing I, COMP1127 - Introduction to Computing II, COMP1161 - Object-Oriented Programming",COMP1126 - 1 COMP1127 - 1 COMP1161 - 1,COMP1126 - 3 COMP1127 - 4 COMP1161 - 4,Bad teacher,No,2,1,"COMP1126, COMP1127, COMP1161"
"COMP1126 - Introduction to Computing I, COMP1127 - Introduction to Computing II, COMP1161 - Object-Oriented Programming, COMP1210 - Mathematics for Computing, COMP1220 - Computing and Society, COMP2140 - Software Engineering, COMP2171 - Object Oriented Design and Implementation, COMP2190 - Net-Centric Computing, COMP2201 - Discrete Mathematics for Computer Science, COMP2211 - Analysis of Algorithms, COMP2340 - Computer Systems Organization, COMP3161 - Database Management Systems, SWEN3120 - Software Architecture, SWEN3130 - Software Project Management, SWEN3145 - Software Modelling, SWEN3165 - Software Testing, SWEN3185 - Formal Methods and Software Reliability, SWEN3920 - Capstone Project (Software Engineering)",COMP1126 - N/A COMP1127 - N/A COMP1161 - N/A COMP1210 - N/A COMP1220 - N/A COMP2140 - N/A COMP2171 - N/A COMP2190 - N/A COMP2201 - N/A COMP2211 - N/A COMP2340 - N/A COMP3161 - N/A SWEN3120 - N/A SWEN3130 - N/A SWEN3145 - N/A SWEN3165 - N/A SWEN3185 - N/A SWEN3920 - N/A,COMP1126 - N/A COMP1127 - N/A COMP1161 - N/A COMP1210 - N/A COMP1220 - N/A COMP2140 - N/A COMP2171 - N/A COMP2190 - N/A COMP2201 - N/A COMP2211 - N/A COMP2340 - N/A COMP3161 - N/A SWEN3120 - N/A SWEN3130 - N/A SWEN3145 - N/A SWEN3165 - N/A SWEN3185 - N/A SWEN3920 - N/A,Lecturer not making lessons interesting or interactive,No,4,1,"COMP1126, COMP1127, COMP2140, COMP2171, SWEN3120"
